sample,reg,snr,repeat,method,path,rms,peak,high_to_low_mid_energy,temporal_contrast_db
5,reg005,10,15,SS+GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_GWPE_K50_d2_i2.wav,0.005372578461762064,0.04449462890625,0.0762368700169299,1.0699542244802436
5,reg005,10,20,SS+GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_GWPE_K50_d2_i2.wav,0.005372578461762064,0.04449462890625,0.0762368700169299,1.0699542244802436
5,reg005,5,1,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,5,3,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,5,5,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,5,7,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,5,10,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,5,15,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,5,20,Original obs,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/baselines/raw_5.wav,0.004698539388192987,0.03948974609375,0.06864829063424417,1.542729172978936
5,reg005,5,1,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_1/raw_noisy_mics.wav,0.005523371828463932,0.040374755859375,0.22074413144131735,0.6808620027477049
5,reg005,5,3,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_3/raw_noisy_mics.wav,0.005509064044249018,0.040191650390625,0.21838592797743434,0.67997281711578
5,reg005,5,5,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_5/raw_noisy_mics.wav,0.00551840311661858,0.0433349609375,0.21775372887795758,0.7069284190828472
5,reg005,5,7,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_7/raw_noisy_mics.wav,0.005513495097078004,0.041107177734375,0.21703826399572454,0.7097506029593411
5,reg005,5,10,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_10/raw_noisy_mics.wav,0.005518771347955414,0.0428466796875,0.22056225944173175,0.6964988887861753
5,reg005,5,15,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_15/raw_noisy_mics.wav,0.0055104925499460606,0.03863525390625,0.21883794954124702,0.6794495378018299
5,reg005,5,20,Noisy ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_20/raw_noisy_mics.wav,0.005512937446168329,0.03900146484375,0.2180923651716691,0.7222410843368366
5,reg005,5,1,SS ch1,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr5/repeat_1/raw_SpecSub_ch1.wav,0.005889215621686259,0.04534912109375,0.13737771989431277,1.2684026541835023
